player_uid,player_name,team_code,school_name,conference,season,throws,class_year,production_rank,draft_value_score,reach_score,stuff_score,command_score,risk_score,pitch_count,avg_fb_velo,max_fb_velo,avg_ivb,avg_hb,extension,avg_spin,csw_pct,whiff_pct,zone_pct,arsenal_count,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
p_1000079761,Matthew Adams,SOU_GOL,Southern Miss,Sun Belt,2025,Right,Unknown,404,43.80133211786253,57.752727021297645,38.55064484479342,62.18370158674434,50.15,69,89.93913914285713,92.1276,9.441682028985507,2.944520434782609,6.347837826086957,2180.6343403043484,28.985507246376812,23.68421052631579,52.17391304347826,5,0,34.78260869565217,TRUE,45,2026-05-08 21:25:59 UTC
p_691779,Kade Grundy,GEO_EAG,Georgia Southern,Sun Belt,2025,Right,Unknown,405,43.65994593429658,48.26911179237042,39.98602965550848,78.58494652808463,50.15,77,89.46097230769232,92.14349,10.48659987012987,5.235782597402598,5.363096233766234,2202.3233163896107,27.272727272727273,23.333333333333332,49.35064935064935,6,0,27.272727272727266,TRUE,56,2026-05-08 21:25:59 UTC
p_1000048925,Connor Harris,WIN_EAG,Winthrop,Big South,2025,Right,Unknown,406,43.64900073089644,64.89271117290117,31.423118107371693,68.26661844463456,50.15,68,90.05135684210528,93.68417,6.352742499999998,-1.0138425000000002,6.338575147058823,2089.9743720147053,30.88235294117647,26.470588235294116,51.470588235294116,5,0,29.411764705882348,TRUE,48,2026-05-08 21:25:59 UTC
p_10292565,Conner Johnson,ORA_GOL,Oral Roberts,Summit,2026,Right,Unknown,407,43.552853837228284,63.80772601903009,33.826967319103844,57.144440473438856,42.65,52,91.12124000000001,93.23027,7.607955769230769,5.754825961538462,5.760030576923077,1802.3503825769233,28.846153846153847,20.833333333333332,48.07692307692308,6,1.1905983333333552,26.923076923076934,FALSE,38,2026-05-08 21:25:59 UTC
p_1000107383,Teddy Brennan,GEO_COL,Georgia State,Sun Belt,2025,Left,Unknown,408,43.48751134710042,45.26830460085659,38.807792481188386,88.36472330804284,50.15,51,88.95881777777778,92.10764,6.938333725490198,-0.899092549019608,5.705585882352941,2354.8844163137255,33.333333333333336,23.80952380952381,47.05882352941177,5,0,17.64705882352942,TRUE,42,2026-05-08 21:25:59 UTC
p_1000080477,Guillermo Garcia Jr.,LON_LAN,Long Beach State,Big West,2025,Right,Unknown,409,43.462618045664215,48.168316099833454,48.883692192808844,47.84574209545391,50.15,63,90.4594880952381,92.16252,9.377363015873016,0.3967757142857145,5.080055396825396,2435.019482825396,28.571428571428573,22.727272727272727,44.44444444444444,5,0,19.04761904761905,TRUE,51,2026-05-08 21:25:59 UTC
p_1000069364,Will Rogers,MIC_WOL,Michigan,Big Ten,2025,Right,Unknown,410,43.45433575810537,57.70470760730554,36.166791365626885,67.92861608489996,50.15,74,89.54038097560975,92.9034,11.756435810810814,5.027771621621621,5.797541486486486,2082.103887891892,31.08108108108108,26.666666666666668,41.891891891891895,6,0,25.675675675675677,TRUE,55,2026-05-08 21:25:59 UTC
p_1000191453,Ryan Kittredge,CAL_LAN,Cal State Bakersfield,Big West,2025,Right,Unknown,411,43.405332848444374,51.78039646641096,40.07747510065135,63.3897102324991,42.65,81,91.18229,92.78696,7.756482469135801,8.838680987654321,5.588629999999998,2076.63977554321,32.098765432098766,25,43.20987654320987,4,0,30.864197530864203,FALSE,56,2026-05-08 21:25:59 UTC
p_806468,Seth Benes,LIN_UNI,Lindenwood,OVC,2026,Right,Unknown,412,43.36712127865229,51.80272793695192,46.2646288882957,47.27742529056174,49.87761737012984,52,90.88540214285715,93.46393,10.379730192307692,1.8159259615384615,5.526130192307692,2241.416108076923,25,17.647058823529413,51.92307692307692,5,-2.8910469480519367,23.076923076923066,FALSE,40,2026-05-08 21:25:59 UTC
p_1000222086,Justin Kim,PRI_TIG,Princeton,Ivy,2026,Right,Unknown,413,43.365576439082105,49.61322835393329,34.73046888029382,86.00474716705696,42.65,53,88.76446782608697,91.71049,1.9104515094339614,-5.0064367924528295,5.913985283018869,2256.521469,35.84905660377358,29.166666666666668,49.056603773584904,5,-0.16622154891301477,24.52830188679245,FALSE,40,2026-05-08 21:25:59 UTC
p_1000248265,Dillon Schueler,UIC_FLA,UIC,MVC,2025,Right,Unknown,414,43.14631685906678,44.493716367622035,50.655253424199685,43.40592945532817,42.65,66,89.76537852941176,92.16749,12.188598181818183,11.38551196969697,6.474620000000001,2254.668720909091,19.696969696969695,12,45.45454545454545,4,0,27.272727272727266,FALSE,48,2026-05-08 21:25:59 UTC
p_804164,Chris Diaz,FGCU,Florida Gulf Coast,ASUN,2025,Right,Unknown,415,43.14420292174035,46.51333781459935,44.926946302295406,57.77374356988582,42.65,54,89.75130428571431,91.97394,11.002930370370368,3.7134761111111114,5.499889259259259,2278.452585537037,33.333333333333336,33.333333333333336,25.925925925925927,4,0,22.222222222222214,FALSE,42,2026-05-08 21:25:59 UTC
p_702711,Evan Blanco,TEN_VOL,Tennessee,SEC,2026,Left,Unknown,416,42.96659344675262,57.46161039749279,35.769445413107995,63.90114841506905,46.148651611842155,83,89.97733724999998,92.53575,12.353984578313254,-5.481501325301204,5.6546737349397596,1957.9441905903611,37.34939759036145,41.02564102564103,48.19277108433735,5,-1.3994606447368625,22.891566265060234,FALSE,64,2026-05-08 21:25:59 UTC
p_829668,Eli Pillsbury,JAC_GAM,Jacksonville State,CUSA,2026,Left,Unknown,417,42.93488520731144,51.58815515709841,41.933855926698534,59.514019593184884,50.15,55,89.50474652173914,91.73142,5.199111636363637,0.9343736363636365,6.0278198181818174,2406.346649036364,32.72727272727273,41.666666666666664,36.36363636363637,4,0,14.545454545454547,TRUE,47,2026-05-08 21:25:59 UTC
p_801418,Andrew Kribbs,CHA_FOR,Charlotte,American,2025,Right,Unknown,418,42.89842922656584,51.60457292342197,44.72964725311155,44.91336717874918,42.65,61,90.65569888888889,92.49824,0.5184298360655739,2.8652575409836074,5.284684918032786,2329.204768918033,29.508196721311474,35.714285714285715,39.34426229508197,4,0,22.950819672131146,FALSE,47,2026-05-08 21:25:59 UTC
p_10130991,Jason Krieger,MAI_BLA,Maine,America East,2026,Right,Unknown,419,42.77510513418169,60.57731958416049,38.776413618635445,47.99890980271867,50.15,50,89.96615677419355,93.9421,12.447656799999999,10.728132,5.5161954,1884.03232296,32,27.77777777777778,44,6,0,18,TRUE,41,2026-05-08 21:25:59 UTC
p_1000335270,Wade Walton,HIG_PAN,High Point,Big South,2026,Right,Unknown,420,42.71043000223448,57.857650481552355,38.92826747713951,48.40745730080938,42.65,56,90.71324628571429,92.67315,9.30179892857143,11.516594285714282,6.39038107142857,1920.6212829107146,25,12.5,41.07142857142857,5,0.7295717402597575,30.35714285714286,FALSE,39,2026-05-08 21:25:59 UTC
p_1000187776,Thomas Harper,ILL_RED,Illinois State,MVC,2026,Right,Unknown,421,42.60674071934163,50.79301361446926,37.60992289523194,68.59483004440948,42.65,58,90.3262075,92.65988,6.3056944827586205,4.401284137931034,5.802373793103449,2161.901559310345,27.586206896551722,26.08695652173913,44.827586206896555,4,0.3191819444444377,27.58620689655173,FALSE,42,2026-05-08 21:25:59 UTC
