player_uid,player_name,season,pitch_type,usage_pct,avg_velo,avg_ivb,avg_hb,extension,rel_height,rel_side,zone_pct,whiff_pct,csw_pct,hard_hit_allowed_pct
p_702711,"Blanco, Evan",2026,Fastball,17.045454545454547,88.98902731707317,21.405314634146343,-8.308239268292683,5.426300243902439,5.936106829268293,-1.6780558536585366,51.21951219512195,22.22222222222222,34.146341463414636,0
p_702711,"Blanco, Evan",2026,Slider,17.045454545454547,79.59799285714286,3.701675714285714,-0.5526589285714285,5.488038928571428,5.825274642857143,-1.7513946428571427,28.571428571428573,46.15384615384615,28.571428571428573,0
p_703495,"Stieg, Griffin",2026,ChangeUp,6.666666666666667,81.56559999999999,-1.184805,18.80296,5.4584600000000005,4.39769,2.350885,50,0,0,100
p_703495,"Stieg, Griffin",2026,Cutter,6.666666666666667,87.6392075,6.2766675,0.38128750000000006,5.560045000000001,4.8575575,2.036745,75,0,0,NA
p_703495,"Stieg, Griffin",2026,Fastball,6.666666666666667,93.53726357142857,11.132805714285714,18.574905714285713,5.511103571428571,5.025287857142857,1.892725,50,12.5,28.571428571428573,100
p_703495,"Stieg, Griffin",2026,Sinker,6.666666666666667,92.72718,2.4811,20.201,5.33738,4.67971,2.285,0,0,0,0
p_703495,"Stieg, Griffin",2026,Sweeper,6.666666666666667,81.32914444444444,6.540812222222222,-9.775154444444444,5.2756155555555555,4.63603,2.2521299999999997,33.333333333333336,0,22.22222222222222,NA
p_802496,"Frers, Nick",2026,ChangeUp,8.695652173913043,82.202365,1.589545,14.06672,6.187505,4.551685,1.8792550000000001,0,NA,0,NA
p_802496,"Frers, Nick",2026,Cutter,8.695652173913043,84.03038624999999,4.42693125,-2.26108875,6.08998875,4.85084625,1.586435,75,33.333333333333336,50,0
p_802496,"Frers, Nick",2026,Fastball,8.695652173913043,89.37401,12.15721,12.90154,6.53468,4.98609,1.36581,100,0,0,100
p_802496,"Frers, Nick",2026,Sinker,8.695652173913043,92.732393,7.381382,16.373824,6.521923,4.915238,1.365014,70,0,30,33.333333333333336
p_802496,"Frers, Nick",2026,Sweeper,8.695652173913043,78.32500999999999,1.5590350000000002,-10.984575,5.83133,4.6638649999999995,1.64942,50,100,50,NA
