player_uid,player_name,season,exit_speed,angle,direction
h_10009966,"Laskofski, Jamie",2026,77.71032,-36.821942,48.902167
h_1000480577,"Bartletti, Louis",2026,98.81949,6.171986,18.612915
h_1000187570,"Iriotakis, Charlie",2026,99.96005000000001,-14.233797,-18.132009
h_1000302625,"O'Neil, Liam",2026,90.72254000000001,34.989062,-26.589841
h_831482,"Ball, Ethan",2026,87.10108,-5.028351,-29.867449
h_1000343411,"Christman, Trey",2026,88.56945,55.903875,-11.243927
h_824567,"Lutterman, Hudson",2026,97.33115000000001,17.055478,-9.495858
h_831482,"Ball, Ethan",2026,96.64527,37.35702,3.245542
h_1000187570,"Iriotakis, Charlie",2026,98.14787,-6.578864,-14.900365
h_10025942,"Chavez, Conner",2026,84.74674,-23.080796,-9.768592
h_838742,"Grube, Sam",2026,72.81218,41.816312,-32.153352
h_695674,"Hughes, Treyson",2026,79.44903000000001,-8.967536,28.528705
h_838743,"Petrich, Owen",2026,96.83556,15.374823,0.604473
h_1000302625,"O'Neil, Liam",2026,87.29729,-4.349475,18.007015
h_10100779,"Ecker, Chase",2026,93.13833,12.621327,-1.547688
h_824567,"Lutterman, Hudson",2026,57.81467,-45.062992,-56.039512
h_815976,"French, Anderson",2026,98.99265,35.945427,22.84367
h_838741,"Daniel, Pete",2026,57.806490000000004,-12.793721,33.555987
h_10009966,"Laskofski, Jamie",2026,86.15119,23.690633,18.932635
h_1000343411,"Christman, Trey",2026,93.3478,-8.452217,-34.96436
h_1000480577,"Bartletti, Louis",2026,76.94043,16.19891,10.172277
h_10106448,"Kosuda, Matthew",2026,88.21789,16.903995,26.084014
h_811781,"Gates, Sam",2026,79.68927000000001,32.58798,-25.990951
h_824567,"Lutterman, Hudson",2026,96.00677,27.999465,-13.085396
h_1000115649,"Greco, Anthony",2026,88.26818,-25.107803,38.749686
h_831482,"Ball, Ethan",2026,82.79042,-16.425309,33.157791
h_838741,"Daniel, Pete",2026,84.59948,17.875537,13.621753
h_805714,"Cooke, Henry",2026,96.16599000000001,38.775144,-13.224173
h_831482,"Ball, Ethan",2026,71.3514,15.380014,-21.010503
h_1000480577,"Bartletti, Louis",2026,88.01851,56.819578,21.424659
h_1000142987,"Palmese, Jamie",2026,71.97594000000001,-55.38298,-12.287847
h_1000119183,"Curless, Tristan",2026,99.98446,30.55212,4.728176
h_695674,"Hughes, Treyson",2026,79.10125000000001,43.501429,-17.770327
h_838742,"Grube, Sam",2026,98.31338000000001,12.016414,3.634414
h_805714,"Cooke, Henry",2026,73.54522,35.196084,8.751839
h_838743,"Petrich, Owen",2026,NA,NA,NA
h_1000242407,"Matlock, Luke",2026,87.61934000000001,-10.106917,21.233773
h_1000142987,"Palmese, Jamie",2026,96.6363,0.646895,6.715805
h_831482,"Ball, Ethan",2026,96.25219,6.198246,1.865098
h_703551,"Gibson, Ethan",2026,88.1703,62.554349,8.036958
h_811781,"Gates, Sam",2026,98.47103,14.6639,-24.895519
